Keyword,Ad group,Volume,CPC (USD),Intent,Match sugerido,Fonte,Observacao
roupa de neoprene masculina,neoprene-categoria-compra,50,0.09,,Exact,kw-manager,
neoprene 2mm,neoprene-categoria-compra,40,0.10,,Exact,kw-manager,
comprar roupa de neoprene,neoprene-categoria-compra,20,0.00,,Exact,kw-manager,
conjunto de neoprene,neoprene-categoria-compra,20,0.00,,Exact,kw-manager,
kit neoprene,neoprene-categoria-compra,20,0.00,,Exact,kw-manager,
roupa de neoprene preço,neoprene-categoria-compra,20,0.00,,Exact,kw-manager,
roupa termica para agua,neoprene-categoria-compra,20,0.07,,Exact,kw-manager,
onde comprar roupa de neoprene,neoprene-categoria-compra,0,0.00,,Exact,kw-manager,
roupa para agua fria,neoprene-categoria-compra,0,0.00,,Exact,kw-manager,
loja de roupa de neoprene,neoprene-categoria-compra,n/c,n/c,,Exact,kw-manager,
roupa para esportes aquaticos,neoprene-categoria-compra,n/c,n/c,,Exact,kw-manager,
roupa termica para mar,neoprene-categoria-compra,n/c,n/c,,Exact,kw-manager,
use zero hora,neoprene-marca,50,0.00,,Phrase,kw-manager,
zero hora surf,neoprene-marca,20,0.00,,Phrase,kw-manager,
usezerohora,neoprene-marca,0,0.00,,Phrase,kw-manager,
bermuda use zero hora,neoprene-marca,n/c,n/c,,Phrase,kw-manager,
camiseta neoprene use zero hora,neoprene-marca,n/c,n/c,,Phrase,kw-manager,
sapatilha use zero hora,neoprene-marca,n/c,n/c,,Phrase,kw-manager,
use zero hora neoprene,neoprene-marca,n/c,n/c,,Phrase,kw-manager,
camisa de neoprene mormaii,neoprene-concorrencia (nao ativar),n/c,n/c,,Exact,lista-colada,
camisa mergulho mormaii manga longa neolycra,neoprene-concorrencia (nao ativar),n/c,n/c,,Exact,lista-colada,
camisa mormaii neoprene,neoprene-concorrencia (nao ativar),n/c,n/c,,Exact,lista-colada,
camisa neoprene billabong,neoprene-concorrencia (nao ativar),n/c,n/c,,Exact,lista-colada,
camisa neoprene decathlon,neoprene-concorrencia (nao ativar),n/c,n/c,,Exact,lista-colada,
camisa neoprene hurley,neoprene-concorrencia (nao ativar),n/c,n/c,,Exact,lista-colada,
camisa neoprene mormaii,neoprene-concorrencia (nao ativar),n/c,n/c,,Exact,lista-colada,
camisa neoprene rip curl,neoprene-concorrencia (nao ativar),n/c,n/c,,Exact,lista-colada,
roupa de mergulho,fora-da-campanha (observacao),8100,0.00,"Informational, Commercial",Phrase,kw-manager,intencao mergulho: produto nao atende
long john,fora-da-campanha (observacao),2400,0.00,"Informational, Commercial",Phrase,kw-manager,produto nao vendido (roupa fechada)
wetsuit wet,fora-da-campanha (observacao),1600,0.00,Commercial,Phrase,kw-manager,produto nao vendido (roupa fechada)
long john john,fora-da-campanha (observacao),1300,0.00,Commercial,Phrase,kw-manager,produto nao vendido (roupa fechada)
roupas de mergulho feminina,fora-da-campanha (observacao),1000,0.00,Commercial,Phrase,kw-manager,intencao mergulho: produto nao atende
roupa de natação infantil,fora-da-campanha (observacao),720,0.00,Informational,Phrase,kw-manager,negativa confirmada: linha adulta
roupa para mergulho,fora-da-campanha (observacao),720,0.00,"Informational, Commercial",Phrase,kw-manager,intencao mergulho: produto nao atende
roupa de borracha,fora-da-campanha (observacao),590,0.00,"Informational, Commercial",Phrase,kw-manager,aderencia baixa ao produto
